"id";"sex";"affiliated";"time_secs"
6243;"m";1;1129
2437;"m";1;1129.3
3462;"m";0;1129.8
3566;"f";0;1130.3
2011;"m";0;1131.4
3031;"m";0;1131.7
6102;"m";1;1131.8
2399;"m";0;1131.9
5726;"m";0;1132.1
9544;"f";1;1132.9
2967;"m";1;1133.4
3214;"m";1;1133.6
2226;"m";1;1133.8
2710;"m";0;1134.6
2831;"m";1;1134.7
5890;"m";0;1134.8
3903;"m";1;1134.8
4469;"f";1;1135
6073;"m";1;1135.6
2519;"m";0;1135.7
5806;"f";0;1135.9
13860;"f";0;1136.1
2366;"m";0;1136.1
7792;"f";0;1136.2
2980;"m";1;1136.4
4140;"f";1;1136.4
23116;"m";1;1136.5
5874;"m";1;1136.6
3367;"m";0;1136.9
3741;"m";1;1137.3
4032;"m";0;1137.4
5772;"f";1;1137.4
2637;"m";0;1137.6
2231;"m";1;1137.7
4242;"m";1;1137.8
2929;"m";1;1138.2
6790;"m";1;1138.3
1623;"m";1;1138.4
5980;"m";1;1138.8
2664;"m";1;1138.9
1712;"m";0;1139.3
1934;"m";1;1141.3
5595;"m";0;1141.5
4193;"m";0;1141.5
2142;"m";0;1141.9
3556;"m";0;1142
5195;"m";0;1142.1
4531;"m";1;1142.3
4593;"m";1;1142.8
3893;"m";0;1142.9
5699;"m";1;1143.1
4714;"m";0;1143.3
3791;"f";1;1143.6
5267;"m";1;1143.9
3710;"m";0;1143.9
11774;"m";0;1143.9
3245;"m";0;1144.3
13121;"m";1;1144.3
3016;"m";1;1144.6
2832;"f";1;1144.8
6689;"m";1;1146.1
5763;"m";1;1146.1
6693;"m";1;1146.2
3506;"m";0;1146.5
4720;"m";0;1146.6
15620;"m";1;1146.6
6042;"m";1;1146.7
3702;"m";0;1147.1
6903;"m";1;1147.3
4612;"m";1;1147.3
3773;"m";1;1147.7
3527;"m";1;1147.8
19424;"m";1;1147.8
6285;"m";0;1147.8
14324;"m";1;1148.2
5492;"f";1;1148.3
1631;"m";1;1148.3
11019;"m";1;1148.5
1671;"m";1;1148.8
2117;"m";0;1149
